"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","FirstIn","FirstWon","SecondWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Nice","2015-6120:13","Clay","James Duckworth","R",-0.0533252816513805,"R16",0.0157409671496757,-0.410437222558971,-0.0306400215314697,-0.246284827220633,-0.00792114887669447,0.98815173076617,-0.13283168399001,0.641537673582094,-0.126177152489255,1,-0.541610885465357,-0.0267155371314312,0.208343047890761,-0.355718117462208,-0.224624348362122,0.968635228723294,0.00138233831264201,0.74546887935488,0.517098726715519
"Roland Garros","2015-520:37","Clay","Roberto Bautista Agut","R",-0.426230541876502,"R128",-0.469277583149708,-1.22511482989293,-0.208946501346711,0.13783491008205,0.423982231349348,-0.297133495883737,0.111291410910548,-0.646436154164294,-0.820562300513846,1,0.124232179746615,-1.0063588284716,-0.653233794647883,-0.173870773940374,1.55559934313155,0.159501624316894,1.36436791457767,-1.22095354412677,-1.7358487508642
"Davis Cup G1 R2: UZB vs KOR","2015-D022:4","Clay","Seong Chan Hong","R",5.73767405360933,"RR",0.17741381724947,0.811579188441971,-0.601220756940243,-0.356033323592828,0.0640627478276459,0.131294912999565,-0.621077873791126,0.319544216645497,-0.820562300513846,1,-0.541610885465357,-1.33290659225165,-2.16099326909051,-1.44680217859321,-0.224624348362122,0.321328345198174,0.00138233831264201,-0.975150741191563,-1.56254509874268
"Rio de Janeiro","2015-6932:11","Clay","Albert Ramos","L",-0.163003299364652,"R32",-0.145931882950119,-0.410437222558971,0.539940713877304,0.247583406454245,-0.0799050455810349,0.131294912999565,0.111291410910548,1.28552458745529,1.49405485956812,0,-0.00893643329577934,-0.0267155371314312,0.998121820217851,1.18998430247338,0.962191445966994,-0.973285421852067,0.00138233831264201,1.7286800910957,1.55692063944462
"Canada Masters","2015-421:36","Hard","Pablo Andujar","R",-0.272681317077923,"R32",-0.954296133449092,-0.00309841889199019,-0.743865940792436,-0.30115907540673,-1.01569570273746,-0.72556190476704,-0.865200968691684,-0.646436154164294,-0.126177152489255,0,-0.275273659380568,0.62637999042868,0.423737258525422,0.735365943668795,-0.936713824959591,0.644981786960734,0.00138233831264201,0.253863273484467,0.690402378837036
"Quito","2015-7161:10","Clay","Giovanni Lapentti","R",1.14764901230894,"R32",-0.307604733049913,2.03359559944291,1.14618274524913,1.12557137743181,0.495966128053688,0.702532791510635,0.355414505811107,0.641537673582094,0.799669711543533,0,-1.20745395067733,0.952927754208735,1.21351603085251,1.2809079742343,-0.10594276892921,-0.164151817445666,-1.36160323795238,0.00806047054926132,0.517098726715519
"Monte Carlo Masters","2015-410:2","Clay","Bernard Tomic","R",-0.393327136562521,"R64",-0.792623283349297,-0.817776026225951,-0.24460779730976,-0.08166208266234,-0.295856735694056,-0.72556190476704,0.111291410910548,0.319544216645497,0.799669711543533,1,-0.275273659380568,-1.33290659225165,-0.725031864859437,1.09906063071246,1.19955460483282,-1.29693886361463,-1.36160323795238,0.499666076419673,-0.176115881770547
"US Open","2015-560:47","Hard","Konstantin Kravchuk","R",0.314096077688078,"R128",0.500759517449059,-0.00309841889199019,0.967876265433884,0.467080399198636,-0.0799050455810349,1.13096120039394,0.355414505811107,0.319544216645497,1.03113142755173,0,0.124232179746615,0.299832226648624,-0.366041513801668,-0.264794445701291,-1.64880330155706,-0.325978538326946,-1.36160323795238,-0.729347938256357,-0.0028122296490307
"Bastad","2015-316:8","Clay","Joao Sousa","R",-0.0533252816513805,"R32",0.0157409671496757,-0.410437222558971,-0.351591685198905,-0.465781819965023,-0.151888942285375,-0.439942965511505,0.355414505811107,-0.646436154164294,-0.126177152489255,0,-0.00893643329577934,-1.65945435603171,-1.22761835634031,-0.628489132744958,-0.224624348362122,-1.13511214273335,1.36436791457767,-0.729347938256357,-0.176115881770547
"Rotterdam","2015-407:26","Hard","Gael Monfils","R",-0.420746640990839,"QF",0.0157409671496757,-0.410437222558971,-0.850849828681581,-0.685278812709413,-0.799744012624439,-1.29679978327811,-1.10932406359224,0.641537673582094,0.568207995535336,0,-0.00893643329577934,0.62637999042868,0.0647469074676536,0.189823913103293,-0.699350666093768,-0.487805259208227,-1.36160323795238,1.4828772881605,1.55692063944462
"Barcelona","2015-425:9","Clay","Jaume Munar","U",4.01024527462531,"R64",-0.954296133449092,-1.22511482989293,-0.565559460977195,-0.356033323592828,-1.0876795994418,-1.43960925290588,-1.10932406359224,1.60751804439188,1.95697829158452,0,-0.674779498507751,-0.353263300911486,0.926323750006298,1.18998430247338,0.0127388105037016,-0.811458700970787,0.00138233831264201,2.22028569696612,2.25013524793069
"Bucharest","2015-773:8","Clay","Marcos Baghdatis","R",-0.212358407335624,"R32",-0.954296133449092,-0.817776026225951,-0.529898165014146,-0.575530316337218,-0.511808425807077,-0.0115145566282022,-0.865200968691684,0.96353113051869,0.105284563518942,1,0.124232179746615,-0.0267155371314312,-0.150647303167007,-0.901260148027709,0.0127388105037016,1.29228867048585,0.00138233831264201,0.253863273484467,-0.349419533892064
"Casablanca","2015-360:8","Clay","Tobias Kamke","R",0.0892561413758719,"R32",-0.954296133449092,0.40424038477499,-0.779527236755485,-1.12427279819819,-1.23164739285048,-0.868371374394807,-0.865200968691684,-0.00244924029109999,0.568207995535336,0,0.124232179746615,0.952927754208735,0.208343047890761,-0.719412804505875,-0.580669086660856,0.321328345198174,-1.36160323795238,0.74546887935488,0.863706030958553
"Davis Cup G2 PO: ZIM vs MDA","2015-D066:3","Hard","Andrei Soltoianu","R",-0.448166145419156,"RR",0.500759517449059,1.21891799210895,0.682585897729497,0.906074384687416,0.78390171487105,-0.297133495883737,0.599537600711665,-0.646436154164294,0.105284563518942,0,-0.408442272422962,0.952927754208735,-0.294243443590115,0.189823913103293,0.487465128235348,-1.45876558449591,-1.36160323795238,0.00806047054926132,0.343795074594003
"Rotterdam","2015-407:15","Hard","Lukas Rosol","R",-0.37687543390553,"R32",-0.469277583149708,1.62625679577593,-0.993495012533775,-1.014524301826,-1.23164739285048,-1.43960925290588,-1.10932406359224,-0.324442697227697,0.336746279527139,0,-0.00893643329577934,2.25911880932896,0.78272760958319,-0.264794445701291,-0.936713824959591,0.159501624316894,0.00138233831264201,0.74546887935488,1.21031333520159
"Atlanta","2015-6116:18","Hard","Go Soeda","R",0.0892561413758719,"R16",-0.469277583149708,-0.817776026225951,-0.565559460977195,-0.465781819965023,-0.367840632398396,-0.439942965511505,-0.865200968691684,0.641537673582094,-0.126177152489255,1,-0.142105046338174,-1.33290659225165,0.0647469074676536,0.826289615429712,1.19955460483282,-0.164151817445666,0.00138233831264201,0.00806047054926132,-0.522723186013581
"Winston-Salem","2015-6242:28","Hard","Viktor Troicki","R",-0.415262740105175,"R32",0.824105217648649,-0.817776026225951,0.753908489655594,1.07069712924571,0.639933921462369,-0.15432402625597,0.599537600711665,1.92951150132848,1.95697829158452,0,1.32274969712816,-1.33290659225165,-0.366041513801668,1.18998430247338,0.606146707668259,-1.62059230537719,0.00138233831264201,0.253863273484467,0.343795074594003
"Metz","2015-341:20","Hard","Edouard Roger Vasselin","R",0.385386789201704,"R16",-1.11596898354889,-1.22511482989293,-0.922172420607678,-1.014524301826,-1.0876795994418,-1.15399031365034,-0.865200968691684,-0.646436154164294,-0.126177152489255,0,-0.00893643329577934,-0.353263300911486,0.208343047890761,-0.0829471021794571,0.131420389936613,-1.13511214273335,0.00138233831264201,0.499666076419673,0.863706030958553
